,date,country_code_a,country_code_b,relations_score,num_verbal_coop,num_material_coop,num_verbal_conf,num_material_conf
284,2022-03-01,AZE,RUS,1.1693686894685795,29,2,0,0
285,2022-03-01,AZE,SVK,0.6008409488674472,6,0,0,0
286,2022-03-01,AZE,TKM,0.9334372689627998,10,0,0,0
287,2022-03-01,AZE,TUR,1.2240125837557514,3,0,1,0
288,2022-03-01,AZE,UKR,-0.7316420650678418,15,2,5,23
289,2022-03-01,USA,AZE,0.4923685583544693,30,5,0,0
290,2022-03-01,BEL,BGR,3.973228596302861,1,0,0,0
291,2022-03-01,CAN,BEL,4.966535745378576,0,1,0,0
292,2022-03-01,BEL,CHE,3.9999999999999996,4,0,0,0
293,2022-03-01,BEL,COD,-0.2892934777711727,4,0,0,5
294,2022-03-01,BEL,COG,0.33058818713865,10,0,1,1
295,2022-03-01,DEU,BEL,1.596141812210016,4,2,0,0
296,2022-03-01,ESP,BEL,-0.24252877848341914,0,0,3,0
297,2022-03-01,BEL,EUR,0.614070870111509,43,0,7,0
298,2022-03-01,BEL,FRA,0.9522739596863007,13,2,0,0
299,2022-03-01,BEL,GBR,0.4270937437228879,1,0,0,4
300,2022-03-01,HUN,BEL,0.05395862988627469,2,0,0,0
301,2022-03-01,BEL,IRL,0.11856468294391698,4,0,0,0
302,2022-03-01,BEL,ITA,-0.14551726709005147,2,0,3,0
303,2022-03-01,BEL,JPN,1.3410405118919795,7,0,0,0
304,2022-03-01,BEL,NLD,1.0211337967054577,8,0,0,0
305,2022-03-01,BEL,POL,0.5224526576176979,13,0,0,0
306,2022-03-01,BEL,PSE,0.41229892342181246,3,0,0,0
307,2022-03-01,RUS,BEL,-0.22330231571477563,36,5,0,16
308,2022-03-01,BEL,SEN,0.31108476597024665,3,0,0,0
309,2022-03-01,SOM,BEL,0.05395862988627469,2,0,0,0
310,2022-03-01,BEL,UKR,0.5772661755109592,42,0,5,0
311,2022-03-01,BEL,USA,0.10997973498956566,14,1,1,4
312,2022-03-01,BEL,WST,1.5441174940448528,14,0,2,0
313,2022-03-01,CHE,BEN,-0.5506068833234256,0,3,0,0
314,2022-03-01,BEN,GBR,-0.034205648826816835,2,0,0,2
315,2022-03-01,BEN,NGA,1.297690789555971,12,0,0,3
316,2022-03-01,QAT,BFA,0.0,2,0,0,0
317,2022-03-01,USA,BFA,0.3827658434675418,0,3,0,0
318,2022-03-01,BGD,BRA,0.8148837967054575,8,0,0,0
319,2022-03-01,CHN,BGD,1.837618225790073,5,1,0,0
320,2022-03-01,BGD,DEU,0.0,1,0,0,0
321,2022-03-01,DNK,BGD,-0.7847020355370096,1,0,1,0
322,2022-03-01,EUR,BGD,1.9890209250095594,7,1,0,0
323,2022-03-01,BGD,GBR,1.4629133101772118,16,0,0,0
324,2022-03-01,BGD,IDN,1.1012137666468513,6,0,0,0
325,2022-03-01,BGD,IND,0.8877141565920258,15,2,0,2
326,2022-03-01,BGD,MDA,1.3071237112554213,3,2,0,0
327,2022-03-01,BGD,MMR,0.977955359638645,6,1,0,0
328,2022-03-01,BGD,PAK,1.1012137666468513,6,0,0,0
329,2022-03-01,POL,BGD,2.89300052601564,0,6,0,0
330,2022-03-01,BGD,QAT,2.4162529209563317,6,5,0,0
331,2022-03-01,ROU,BGD,2.724695581326501,0,2,0,0
332,2022-03-01,BGD,RUS,3.6939915114403883,4,4,1,0
333,2022-03-01,SAU,BGD,2.718467698707021,0,5,0,0
334,2022-03-01,BGD,SRB,1.1012137666468513,6,0,0,0
335,2022-03-01,THA,BGD,1.5616633936344644,7,1,0,0
336,2022-03-01,BGD,TUR,0.023808907628635353,7,0,0,0
337,2022-03-01,BGD,UKR,0.3313434966345025,6,3,0,3
338,2022-03-01,BGD,USA,1.466187696367957,15,4,1,2
339,2022-03-01,BGD,VNM,1.1012137666468513,6,0,0,0
340,2022-03-01,CAN,BGR,0.15818364727378095,2,0,0,0
341,2022-03-01,BGR,CHE,3.9999999999999996,4,0,0,0
342,2022-03-01,ESP,BGR,1.0,0,4,0,0
343,2022-03-01,BGR,EUR,0.6094683068776876,7,0,0,0
344,2022-03-01,GBR,BGR,-1.4596590798980367,0,1,1,2
345,2022-03-01,BGR,GRC,-1.5720051566928694,0,0,0,8
346,2022-03-01,ITA,BGR,1.9271240916319898,0,3,0,0
347,2022-03-01,BGR,ROU,1.6999999999999997,2,0,0,0
348,2022-03-01,BGR,RUS,-0.176386767901246,18,0,0,6
349,2022-03-01,BGR,SVK,2.8333333333333335,6,0,0,0
350,2022-03-01,BGR,TUR,-1.3973379170603284,1,0,0,8
351,2022-03-01,BGR,UKR,0.08760623892436559,24,1,5,4
352,2022-03-01,USA,BGR,3.973228596302861,2,0,0,0
353,2022-03-01,WST,BGR,0.1308241662793167,2,0,0,0
354,2022-03-01,BHR,CHE,0.6644357163585718,3,0,0,0
355,2022-03-01,BHR,ESP,-0.07913932383320288,0,0,2,0
356,2022-03-01,BHR,GBR,0.9701151139336766,3,0,0,0
357,2022-03-01,BHR,ISR,7.946457192605722,1,0,0,0
358,2022-03-01,JOR,BHR,0.0,1,0,0,0
359,2022-03-01,BHR,USA,3.4765750217650035,2,0,0,0
360,2022-03-01,BHS,DNK,1.0560703633294692,4,0,0,0
361,2022-03-01,GBR,BHS,0.0,1,0,0,0
362,2022-03-01,BHS,JAM,0.8564004565505196,10,0,0,0
363,2022-03-01,BHS,MEX,0.9147192308738966,4,0,0,0
364,2022-03-01,RUS,BHS,-3.088970228085068,0,0,2,0
365,2022-03-01,USA,BHS,0.2538829683700326,10,1,0,0
366,2022-03-01,BIH,EST,-0.17986209962091562,0,0,0,1
367,2022-03-01,BIH,EUR,1.6443510281592217,0,3,0,0
368,2022-03-01,BIH,TUR,5.959842894454292,0,2,0,0
369,2022-03-01,UKR,BIH,-1.6465876833191042,2,0,0,3
370,2022-03-01,CAN,BLR,-1.7692033308608648,0,0,5,2
371,2022-03-01,BLR,CHE,0.2689414213699951,1,0,0,0
372,2022-03-01,BLR,CHN,1.3147493813448834,5,0,0,3
373,2022-03-01,DEU,BLR,1.910064210909846,4,0,0,0
374,2022-03-01,EST,BLR,-0.04861882769994064,9,0,0,0
375,2022-03-01,EUR,BLR,-0.13497027389627564,19,4,8,8
